Event	ID	Name			Wwise Object Path	Notes
	85412153	Ambience			\Default Work Unit\Ambience	
	134222113	Ball_Jump			\Default Work Unit\Ball\Ball_Jump	
	285418122	Ball_Movement			\Default Work Unit\Ball\Ball_Movement	
	1091336318	SpeedTrigger			\Default Work Unit\SpeedTrigger	
	1165162655	Ball_Impact			\Default Work Unit\Ball\Ball_Impact	
	1460941491	Diamond_Catch			\Default Work Unit\Diamond\Diamond_Catch	
	2555741448	Finish			\Default Work Unit\Finish	
	3312059336	Diamond_AimOff			\Default Work Unit\Diamond\Diamond_AimOff	
	3822983202	Ball_Water			\Default Work Unit\Ball\Ball_Water	
	3991942870	Music			\Default Work Unit\Music	
	4096946770	Diamond_AimOn			\Default Work Unit\Diamond\Diamond_AimOn	

Switch Group	ID	Name			Wwise Object Path	Notes
	354267144	Terrain			\Default Work Unit\Terrain	

Switch	ID	Name	Switch Group			Notes
	2058049674	Wood	Terrain			
	2348606633	Dust	Terrain			
	2473969246	Metal	Terrain			
	2654748154	Water	Terrain			
	4248645337	Grass	Terrain			

Game Parameter	ID	Name			Wwise Object Path	Notes
	149143475	BallVelocity			\Default Work Unit\BallVelocity	
	2062901289	BallImpactVelocity			\Default Work Unit\BallImpactVelocity	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	677833085	CaptainAttack3	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\CaptainAttack3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Grass\CaptainAttack3		88264
	715017872	CaptainStepBoot3	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\CaptainStepBoot3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Wood\CaptainStepBoot3		88264
	738562996	Whoosh,Sound Design,Blast,Watery,Crash	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\Whoosh,Sound Design,Blast,Watery,Crash_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Others\FastLane\Whoosh,Sound Design,Blast,Watery,Crash		350596
	746813493	Whoosh,Sound Design,Logo,Airy to Shiver,Uncertain,Low	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\Whoosh,Sound Design,Logo,Airy to Shiver,Uncertain,Low_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Others\FastLane\Whoosh,Sound Design,Logo,Airy to Shiver,Uncertain,Low		600112
	794182033	EnemyShield2	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\EnemyShield2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Metal\EnemyShield2		88264
	799617148	EnemyShield3	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\EnemyShield3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Metal\EnemyShield3		88264
	819555451	CaptainGrappleHook1	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\CaptainGrappleHook1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Jump\CaptainGrappleHook1		176464
	895852747	CaptainJump1	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\CaptainJump1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Jump\CaptainJump1		88264
	920605265	CaptainGrappleHookHit1	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\CaptainGrappleHookHit1 _10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Jump\CaptainGrappleHookHit1		88264
	989695885	CaptainStepBoot2	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\CaptainStepBoot2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Wood\CaptainStepBoot2		88264
	1001841442	Item Found	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\Item Found_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Diamonds\Item Found		473288
	1051050919	UI SFX Up example	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\UI SFX Up example_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Diamonds\UI SFX Up example		220564

